time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0698702778,1.3984,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698703356,1.3994,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698706481,1.4004,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698707291,1.4015,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698707986,1.4025,-0.0005,-0.8779,-0.0000,2760,80.0,60.5,1.2000
740036.0698708565,1.4035,-0.0005,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698711111,1.4046,-0.0005,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698711806,1.4056,-0.0006,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698712384,1.4066,-0.0006,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698712848,1.4076,-0.0006,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698715625,1.4087,-0.0006,-0.8778,-0.0000,2760,80.0,60.5,1.2000
740036.0698716436,1.4097,-0.0006,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698717129,1.4107,-0.0006,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698717824,1.4117,-0.0006,-0.8778,0.0000,2760,80.0,60.5,1.2000
740036.0698720486,1.4128,-0.0006,-0.8777,0.0000,2760,80.0,60.5,1.2000
740036.0698721296,1.4138,-0.0006,-0.8777,0.0000,2760,80.0,60.5,1.2000
740036.0698722106,1.4148,-0.0006,-0.8777,-0.0000,2760,80.0,60.5,1.2000
740036.0698722916,1.4159,-0.0006,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698725462,1.4169,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698728703,1.4179,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698729398,1.4190,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698730209,1.4200,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698733333,1.4210,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698734028,1.4220,-0.0007,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698734722,1.4231,-0.0008,-0.8776,-0.0000,2760,80.0,60.5,1.2000
740036.0698735532,1.4241,-0.0008,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698737963,1.4251,-0.0008,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698738657,1.4261,-0.0008,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698739352,1.4272,-0.0008,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698740046,1.4282,-0.0008,-0.8775,-0.0000,2760,80.0,60.5,1.2000
740036.0698742477,1.4292,-0.0009,-0.8775,-0.0000,2760,80.0,60.5,1.2000
